,0
307.0838178877,307.0838178877
555.2692975341,555.2692975341
624.0873082632,624.0873082632
493.3168156897,493.3168156897
257.1028750516,257.1028750516
780.1092067055,780.1092067055
347.0630811124,347.0630811124
254.2246098628,254.2246098628
625.0869294704,625.0869294704
663.1091419334,663.1091419334
308.1987698818,308.1987698818
451.2698866023,451.2698866023
626.0839768677,626.0839768677
256.2402073027,256.2402073027
342.2882560363,342.2882560363
479.3011671946,479.3011671946
624.089021407,624.089021407
497.2753872161,497.2753872161
330.2770157386,330.2770157386
612.2907258755,612.2907258755
495.2597101548,495.2597101548
243.1834057892,243.1834057892
495.3324288114,495.3324288114
278.1518329659,278.1518329659
342.1162150702,342.1162150702
612.1521003808,612.1521003808
370.3195356798,370.3195356798
521.3481349926,521.3481349926
467.3010905176,467.3010905176
361.2041851366,361.2041851366
541.0610878842,541.0610878842
215.0558713098,215.0558713098
624.0900788783,624.0900788783
310.1780385219,310.1780385219
228.2088971606,228.2088971606
282.2558879557,282.2558879557
414.2464998916,414.2464998916
370.220268279,370.220268279
312.175938084,312.175938084
242.2245493667,242.2245493667
458.2726909719,458.2726909719
227.1886033179,227.1886033179
326.1940672306,326.1940672306
276.1725599036,276.1725599036
358.3083016352,358.3083016352
390.2770064901,390.2770064901
406.3294279086,406.3294279086
450.355632051,450.355632051
243.0871382835,243.0871382835
337.3344708299,337.3344708299
502.2989119336,502.2989119336
326.1915737835,326.1915737835
453.2855021083,453.2855021083
361.2464368707,361.2464368707
554.2857966959,554.2857966959
523.0503892546,523.0503892546
414.2042741124,414.2042741124
385.3191962792,385.3191962792
494.3818343586,494.3818343586
465.2854445078,465.2854445078
587.1330269877,587.1330269877
555.2729364769,555.2729364769
452.3362423549,452.3362423549
362.303209776,362.303209776
324.1936900539,324.1936900539
238.1416011701,238.1416011701
464.3712898982,464.3712898982
508.3974863465,508.3974863465
538.4081177151,538.4081177151
282.1678671866,282.1678671866
546.3250624878,546.3250624878
318.277030391,318.277030391
219.9895702013,219.9895702013
420.3450690806,420.3450690806
286.21434567,286.21434567
194.1153114956,194.1153114956
480.2159175106,480.2159175106
328.2613558341,328.2613558341
579.0081034776,579.0081034776
552.4237092101,552.4237092101
298.2508367981,298.2508367981
618.2147929125,618.2147929125
255.2280190884,255.2280190884
402.2253684571,402.2253684571
314.2456395099,314.2456395099
533.2926153092,533.2926153092
582.4342938664,582.4342938664
524.2421150499,524.2421150499
624.0822630134,624.0822630134
298.1602564017,298.1602564017
254.2252269768,254.2252269768
533.2916209053,533.2916209053
556.2761419873,556.2761419873
596.450035098,596.450035098
351.3137234778,351.3137234778
270.2195089685,270.2195089685
288.0593796607,288.0593796607
398.2433120737,398.2433120737
274.2508139987,274.2508139987
568.2683584437,568.2683584437
376.3188714631,376.3188714631
188.1047773826,188.1047773826
422.3243176689,422.3243176689
280.2402371109,280.2402371109
466.3505283285,466.3505283285
510.3768150779,510.3768150779
378.2981294004,378.2981294004
226.19327367,226.19327367
302.2457548807,302.2457548807
369.3242846161,369.3242846161
602.1110541267,602.1110541267
340.2072426423,340.2072426423
334.1578808746,334.1578808746
342.1467268602,342.1467268602
626.460390216,626.460390216
572.2959372842,572.2959372842
353.3293339397,353.3293339397
625.2146457616,625.2146457616
257.1038623446,257.1038623446
590.3514265551,590.3514265551
534.2870923649,534.2870923649
296.2351555458,296.2351555458
640.4761990317,640.4761990317
334.2719713636,334.2719713636
332.2926777337,332.2926777337
250.1204132546,250.1204132546
662.4464550604,662.4464550604
593.2161172182,593.2161172182
399.3348641583,399.3348641583
663.1054136873,663.1054136873
458.2814201455,458.2814201455
570.2805135266,570.2805135266
187.1208269152,187.1208269152
348.1734879605,348.1734879605
598.429250477,598.429250477
310.1569561079,310.1569561079
286.1416590615,286.1416590615
678.3030918407,678.3030918407
343.2358883298,343.2358883298
535.295754427,535.295754427
292.1886124576,292.1886124576
186.0892154645,186.0892154645
612.2887473923,612.2887473923
684.5022211825,684.5022211825
522.413076563,522.413076563
471.1868605013,471.1868605013
612.2944675738,612.2944675738
555.4346421577,555.4346421577
436.1896635057,436.1896635057
478.3868488287,478.3868488287
612.1133279185,612.1133279185
434.3607682752,434.3607682752
367.3086594227,367.3086594227
276.1572942597,276.1572942597
257.1019284632,257.1019284632
700.6716564106,700.6716564106
626.0882339605,626.0882339605
285.0961368582,285.0961368582
576.1268063633,576.1268063633
598.7931953973,598.7931953973
230.0764881571,230.0764881571
490.2057021862,490.2057021862
190.1205077248,190.1205077248
543.8608576193,543.8608576193
821.5496667616,821.5496667616
692.8135984094,692.8135984094
652.6869506947,652.6869506947
666.5908284359,666.5908284359
382.2121031609,382.2121031609
698.8167231406,698.8167231406
575.7441901416,575.7441901416
610.5856957538,610.5856957538
608.6195698599,608.6195698599
547.0875384112,547.0875384112
218.1154004248,218.1154004248
575.8153060521,575.8153060521
636.2820063124,636.2820063124
711.121152437,711.121152437
621.2694902115,621.2694902115
821.7059232982,821.7059232982
718.7559515888,718.7559515888
661.1856901727,661.1856901727
614.7266048174,614.7266048174
572.2394405401,572.2394405401
542.9820629924,542.9820629924
745.9969072755,745.9969072755
657.337092635,657.337092635
603.8609600964,603.8609600964
767.3978591271,767.3978591271
618.7608756002,618.7608756002
593.3024717049,593.3024717049
641.9168802907,641.9168802907
552.2686396719,552.2686396719
597.785151096,597.785151096
666.5076752863,666.5076752863
811.8894609069,811.8894609069
533.2755281308,533.2755281308
667.2396120411,667.2396120411
659.0256928144,659.0256928144
802.5428263272,802.5428263272
614.682928044,614.682928044
667.8311603484,667.8311603484
612.6110709027,612.6110709027
634.8229897678,634.8229897678
771.1029454101,771.1029454101
645.2653809436,645.2653809436
573.9518345391,573.9518345391
570.4409358987,570.4409358987
674.6133830176,674.6133830176
708.1839065983,708.1839065983
649.4809064177,649.4809064177
705.4412792912,705.4412792912
580.3771821417,580.3771821417
734.5278044689,734.5278044689
582.5050861741,582.5050861741
754.61659126,754.61659126
565.8489116443,565.8489116443
792.0640265467,792.0640265467
595.7586196925,595.7586196925
631.8157401598,631.8157401598
758.2781367105,758.2781367105
638.1072934555,638.1072934555
661.845509105,661.845509105
627.4036307316,627.4036307316
749.8902481243,749.8902481243
